flowers,fruits,leaves,coreid,accessuri,basisofrecord,class_,continent,country,county,dynamicproperties,eventdate,family,fieldnotes,genus,kingdom,locality,occurrenceremarks,order_,phylum,reproductivecondition,scientificname,specificepithet,stateprovince,geopoint,split,buds,old_flowers,old_fruits,name
1,1,1,82d2907d-eea0-4487-9e73-c4e3e82d1486,https://wis.botany.wisc.edu/WIS/v0364812WIS.JPG,preservedspecimen,magnoliopsida,north america,united states,miami dade,"{""habit"":""Small shrub; flowers yellow.""}",1964-05-04,apocynaceae,,allamanda,plantae,university of miami main campus,small cultivated shrub; flowers yellow.,gentianales,tracheophyta,Flower,allamanda cathartica,cathartica,florida,"{""lat"": 25.723552, ""lon"": -80.276743}",train,1,1,1,82d2907d-eea0-4487-9e73-c4e3e82d1486.jpg
1,U,1,7efb833b-50b0-4c8d-bc91-f5a934ece440,https://bisque.cyverse.org/image_service/image/00-NWJHkf8rTDdHnh4B5s9znd/resize:4000/format:jpeg,preservedspecimen,liliopsida,,united states,,,,xyridaceae,,xyris,plantae,,,poales,tracheophyta,,xyris caroliniana,caroliniana,,,train,,1,U,7efb833b-50b0-4c8d-bc91-f5a934ece440.jpg
0,1,1,8c0af3d9-58c0-439c-a8ba-f8d8d7e78347,http://mam.ansp.org/image/CHRB/Fullsize/0070/CHRB0070632.jpg,preservedspecimen,magnoliopsida,north america,united states,middlesex,,2016-10-18,araliaceae,,hedera,plantae,"frows on an uneven, moderately grassy area in the vicinity of loree gym. other trees and wild plants grow nearby. 40º28'52.9752''n, 74º26'5.9496''w","woody perennial vice. Branch is ~28cm. Leaves are alternate, ovate to cordate, have rounded bases and acuminate apices, and are pinnately-veined. Fruit is a berry with 1-5 seeds",apiales,tracheophyta,,hedera helix,helix,new jersey,,train,,0,1,8c0af3d9-58c0-439c-a8ba-f8d8d7e78347.jpg
U,U,1,c7673501-0e0f-4f31-8031-12b6973b36d7,https://cdn.plantatlas.org/img/specimens/USF/106395.jpg,preservedspecimen,liliopsida,north america,united states,hillsborough co.,"{""habit"":""Spathe yellow-greenish; fragrant; tissues firm, slow to dry; readily molding.""}",1973-09-16,araceae,,xanthosoma,plantae,university of south florida botanical gardens,"CULTIVATED. Sheet 1; Flowers pressed September 16, 1973; same plants as leaves April, 1973; the original Birdsey contribution 1972.",alismatales,tracheophyta,Fertile,xanthosoma xanthorrhizon,sagittifolium,florida,,train,,U,U,c7673501-0e0f-4f31-8031-12b6973b36d7.jpg
0,1,0,89e014c8-7f2a-4c0b-96d7-b2717fa1be3c,https://bisque.cyverse.org/image_service/image/00-ksFpgg5CijfbAuDTHF3MnL?resize=4000&format=jpeg,preservedspecimen,magnoliopsida,north america,united states,long,,,cleomaceae,,polanisia,plantae,,,brassicales,tracheophyta,,polanisia tenuifolia,tenuifolia,georgia,,train,,0,1,89e014c8-7f2a-4c0b-96d7-b2717fa1be3c.jpg
1,1,1,2d0a0534-d322-4abd-be95-f4afa931467a,http://www.pnwherbaria.org/images/jpeg.php?Image=WTU-V-064466.jpg,preservedspecimen,magnoliopsida,north america,united states,del norte,,1938-06-24,orobanchaceae,,castilleja,plantae,"smith river, moist banks near myrtle creek.",,lamiales,tracheophyta,flowers and fruits,castilleja miniata ssp. elata,miniata,california,"{""lat"": 41.801225, ""lon"": -124.05424400000001}",train,,1,1,2d0a0534-d322-4abd-be95-f4afa931467a.jpg
1,1,1,8e8ef4d1-fc82-412a-80fc-05ab9c291f62,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00086/DES00086655_lg.jpg,preservedspecimen,magnoliopsida,north america,united states,maricopa county,,2017-03-25,polemoniaceae,,gilia,plantae,"white tank mountain regional park, north side of white tank mountain park.",,ericales,tracheophyta,flower & fruit,gilia flavocincta,flavocincta,arizona,"{""lat"": 33.626921, ""lon"": -112.584112}",train,,1,1,8e8ef4d1-fc82-412a-80fc-05ab9c291f62.jpg
0,1,1,acf3086a-bcf7-4f40-8e8a-ccc6d60c7672,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00083/DES00083372_lg.jpg,preservedspecimen,magnoliopsida,north america,united states,cochise,,2015-06-11,anacardiaceae,,rhus,plantae,dragoon mountains. along middlemarch rd. about 5.2 mi w of pearce. e slope of dragoon mountains,"Common.; Shrb to 5ft tall, 6 ft wide. Flower reddish.",sapindales,tracheophyta,Flowers,rhus virens var. choriophylla,virens,arizona,"{""lat"": 31.874003, ""lon"": -109.953414}",train,,0,1,acf3086a-bcf7-4f40-8e8a-ccc6d60c7672.jpg
1,0,0,5f93bf05-e89f-4597-b3b7-70cd35765adf,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00085/DES00085387_lg.jpg,preservedspecimen,liliopsida,north america,united states,cochise county,,2016-10-14,asparagaceae,,agave,plantae,"coronado national forest, whetstone mountains, east side, along jeep trail and south side of french joe canyon west of highway 90.","Sheet II/III.; Frequent, clonal, flower stalk ca 2-2/3 m tall, inflorescence spicate, down 2/5 of stalk, flowers slightly zygomorphic, sweet smelling, with ovary light chartreuse, tube light yellow-cream-light chartreuse, tepal lobes light yellow, filaments, style very light chartreuse, anthers yellow; ovary smooth, pedicel very short, 1 mm long; flower measurements after Gentry (1982) in mm, (pre-) beginning anthesis: tl=44, o=7.5 x 4w, n=2.5, tu=18.5hx8w, fil ins=14, 16.5, fil=24, a=18, outer tep=16x4.8(base), 4.8(mid), inner tep=15.5x4.4(base), 5(mid), sty=21.",asparagales,tracheophyta,flowers,agave schottii var. schottii,schottii,arizona,"{""lat"": 31.815463, ""lon"": -110.361381}",train,,1,0,5f93bf05-e89f-4597-b3b7-70cd35765adf.jpg
1,1,1,330434de-691d-4c4a-8bd0-1b2b1b30ebae,http://www.pnwherbaria.org/images/jpeg.php?Image=MONTU_131251.jpg,preservedspecimen,magnoliopsida,north america,united states,beaverhead,,2005-07-07,asteraceae,,crepis,plantae,"east fork peet creek, centennial valley.",,asterales,tracheophyta,fruits,crepis atribarba,atribarba,montana,"{""lat"": 44.5863, ""lon"": -112.0758}",train,,1,1,330434de-691d-4c4a-8bd0-1b2b1b30ebae.jpg
1,0,1,1fd15aa0-e8c0-4803-babe-07affe9050ca,http://storage.idigbio.org/mor/aquatic/00024/0024779MOR_lg.jpg,preservedspecimen,magnoliopsida,north america,united states,lake,,1909-07-27,salicaceae,,salix,plantae,"vicinity of millers. within city limits of gary, ind., se of chicago. habitat: slough",Duplicate: Herbarium Wisconsin. On same sheet as acc. #24833,malpighiales,tracheophyta,Flower: Y Fruit: N Vegetation: N Bud: N,salix discolor var. latifolia,planifolia,indiana,,train,0,1,0,1fd15aa0-e8c0-4803-babe-07affe9050ca.jpg
1,0,1,333248e5-10cf-4fcd-82ff-35211136c112,http://www.pnwherbaria.org/images/jpeg.php?Image=IDS0006732.jpg,preservedspecimen,magnoliopsida,north america,united states,bannock,,1996-04-26,brassicaceae,,chorispora,plantae,"indian rocks state park, west side.","Voucher: Chipman, Sara Jayne. 2000. M.S., Idaho State U.  A Preliminary Floral Key of Indian Rocks Area of Critical Environmnental Concern.",brassicales,tracheophyta,flowers,chorispora tenella,tenella,idaho,"{""lat"": 42.7121, ""lon"": -112.23182}",train,,1,0,333248e5-10cf-4fcd-82ff-35211136c112.jpg
0,0,1,a58adda8-57c6-470c-8464-a028e5a2d2f5,http://mam.ansp.org/image/CM/Fullsize/535/CM535150.jpg,preservedspecimen,magnoliopsida,north america,united states,beaver,,2017-06-21,violaceae,,hybanthus,plantae,above old wagon trail at raccoon creek state park,,malpighiales,tracheophyta,veg,hybanthus concolor,concolor,pennsylvania,"{""lat"": 40.50637, ""lon"": -80.36294}",train,,0,0,a58adda8-57c6-470c-8464-a028e5a2d2f5.jpg
1,1,1,22e0747d-2444-4908-84f5-8b39e9f81a28,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00084/DES00084647_lg.jpg,preservedspecimen,magnoliopsida,north america,united states,pima county,,2005-04-27,onagraceae,,oenothera,plantae,"santa catalina mountains, molino basin edge of saddle, arizona national scenic trail, east of highway and campground.","Local herbaceous perennial, petals white.",myrtales,tracheophyta,Flower and fruit,oenothera caespitosa subsp. marginata,cespitosa,arizona,"{""lat"": 32.337117, ""lon"": -110.68195}",train,,1,1,22e0747d-2444-4908-84f5-8b39e9f81a28.jpg
0,1,1,3a57ab8e-d7e1-4003-bd98-3249d0fc173b,http://mam.ansp.org/image/CM/Fullsize/276/CM276777.jpg,preservedspecimen,magnoliopsida,asia,china,,,1979-10-14,celastraceae,,euonymus,plantae,t-hinag,,celastrales,tracheophyta,fr,euonymus alatus,alatus,jiangsu,,train,,0,1,3a57ab8e-d7e1-4003-bd98-3249d0fc173b.jpg
U,U,0,c30cb30a-86ed-4510-901f-437a4d2868ea,http://www.pnwherbaria.org/images/jpeg.php?Image=MONTU123125.jpg,preservedspecimen,magnoliopsida,north america,united states,lincoln,,1998-07-23,lentibulariaceae,,utricularia,plantae,lime creek; confluence with magnesia creek.,,lamiales,tracheophyta,vegetative,utricularia minor,minor,montana,"{""lat"": 48.6527, ""lon"": -114.8779}",train,,U,U,c30cb30a-86ed-4510-901f-437a4d2868ea.jpg
0,1,0,27140360-ee98-40d2-afa4-ee69780c59b0,https://api.idigbio.org/v2/media/7016142b1ddc46120a9b5495561b5338?size=fullsize,preservedspecimen,,north america,united states,racine,,1989-05-15,fagaceae,,,plantae,"woods of sanders park, between wood rd. and meacham rd., 1/2 mi n of the county line, about 4 mi sw of racine.",w/photos Georeferenced by: Louise and Leebased on collectors description,fagales,magnoliophyta,Flower: N Fruit: Y Vegetation: N Bud: N,quercus palaeolithicola,,wisconsin,"{""lat"": 42.674554, ""lon"": -87.839752}",train,,0,1,27140360-ee98-40d2-afa4-ee69780c59b0.jpg
1,U,1,5b1cdf12-5f69-4aad-88fa-7f5156eae103,https://intermountainbiota.org/imglib/h_seinet/seinet/KHD/KHD00009/KHD00009191_lg.jpg,preservedspecimen,magnoliopsida,north america,united states,chaffee,,1995-06-22,asteraceae,,packera,plantae,mosquito range; san isabel national forest; four mile creek drainage; southwest of buffalo peaks along nf road 375; west of peak 9345; 0.7mi. north of road 375d.,Flowers bright yellow; common & widespread.,asterales,tracheophyta,flower,packera tridenticulata,tridenticulata,colorado,"{""lat"": 38.908118, ""lon"": -106.141805}",train,,1,U,5b1cdf12-5f69-4aad-88fa-7f5156eae103.jpg
U,U,1,0a9c26ec-90a9-48a8-afd5-e01e6d5bc069,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00084/DES00084188_lg.jpg,preservedspecimen,,north america,united states,maricopa,,2016-04-23,poaceae,,hilaria,plantae,"white tank mountain regional park, ford canyon trail, nw slope, large rocks.",White Tank Mountains Plant Inventory Project,poales,magnoliophyta,flower & fruit,hilaria rigida,rigida,arizona,"{""lat"": 33.61181, ""lon"": -112.539612}",train,,U,U,0a9c26ec-90a9-48a8-afd5-e01e6d5bc069.jpg
1,1,1,2b383682-7f54-46e5-bfc5-cecce95262e1,http://www.pnwherbaria.org/images/jpeg.php?Image=MONT037966.jpg,preservedspecimen,magnoliopsida,north america,united states,cascade,,1891-07-06,linaceae,,linum,plantae,great falls.,,malpighiales,tracheophyta,flowers,linum perenne,bienne,montana,"{""lat"": 47.50028, ""lon"": -111.3}",train,1,1,1,2b383682-7f54-46e5-bfc5-cecce95262e1.jpg
1,0,1,cca595e6-8b99-4b04-b5f5-ab5f6ad80133,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00063/DES00063013_lg.jpg,preservedspecimen,magnoliopsida,south america,chile,,,2009-01-27,cactaceae,,eriosyce,plantae,"maricopa county: grown in cultivation at desert botanical garden, phoenix, n 33 deg 27' 33'', w 111 deg 56' 35'', 1200 ft., 366 m: accession number 1997 0165 0101; originally received as a plant collected by ted anderson 6367 march 1996 with fred katterman 1095 from chile, region iv at km 378 on rockes west of hwy #5 at rio limari, 30 deg 40' 5.9'' s, 71 deg 31' 43.5'' w, elevation 45 m.","Flowers collected mid-morning, flower diameter 38-48 mm, length 44-53 mm, outer perianth pink on tip, greenish-yellow toward base, inner perianth hot pink on tips, creamy greenish-white towards base, additional flowers collected in Febraury; stigma lobe number 6-7, color white with hot pink on tips, looks like a duster; stem color medium green; spines grayish with dark brown tips; rib count 12.",caryophyllales,tracheophyta,flowers,eriosyce subgibbosa var. nigrihorrida,subgibbosa,coquimbo,"{""lat"": -30.668306, ""lon"": -71.52875}",train,,1,0,cca595e6-8b99-4b04-b5f5-ab5f6ad80133.jpg
1,0,1,93161b5d-1e60-4ac3-91fd-5068490c830b,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00069/DES00069017_lg.jpg,preservedspecimen,magnoliopsida,north america,united states,yavapai county,,2009-04-19,rosaceae,,purshia,plantae,"tent rocks, camp verde, upper end of drainage to cottonwood spring below fr 500","Shrub, 4 ft., cream, infrequent.",rosales,tracheophyta,flowers,purshia stansburiana,stansburiana,arizona,"{""lat"": 34.49688, ""lon"": -111.756528}",train,1,1,0,93161b5d-1e60-4ac3-91fd-5068490c830b.jpg
1,U,1,58dacf43-3a3f-4492-a90c-1afdc2c2515d,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00083/DES00083293_lg.jpg,preservedspecimen,magnoliopsida,north america,united states,apache county,,2014-08-30,polygonaceae,,eriogonum,plantae,"petrified forest national park, northeast of cedar tank.","Local prostrate annual, perianth yellow.",caryophyllales,tracheophyta,flowers,eriogonum divaricatum,divaricatum,arizona,"{""lat"": 34.929131, ""lon"": -109.712929}",train,,1,U,58dacf43-3a3f-4492-a90c-1afdc2c2515d.jpg
N,N,N,f16be107-c9a4-4e69-8795-3eb414d4d7c0,http://n2t.net/ark:/65665/m377ea8e98-5051-408b-927a-fe6863260509,machineobservation,magnoliopsida,,,,,,brunelliaceae,,brunellia,plantae,,"Not known to be published Cuatrecasas, Jose Brunellia bullata (Brunelliaceae). Collection: Cuatrecasas 11944, Colombia, Narino; Leaf. Artist: Zulueta, Ines de - ca. 1947. Brunellia stuebelii (Brunelliaceae). Collection: Sneidern 2834, Two views of lower leaf surface. Artist: Threlkeld, Gesina B. - Jun 1966.",oxalidales,tracheophyta,,brunellia bullata,cayambensis,,,train,,N,N,f16be107-c9a4-4e69-8795-3eb414d4d7c0.jpg
1,1,1,e5f24f35-748a-466d-9dd3-32573c12b0f5,http://www.pnwherbaria.org/images/jpeg.php?Image=WCW000831.jpg,preservedspecimen,magnoliopsida,north america,united states,burleson,,1978-08-07,papaveraceae,,argemone,plantae,"old river ranch, 1.5 miles west of clay, off fm50.",,ranunculales,tracheophyta,flowers and fruits,argemone polyanthemos,polyanthemos,texas,,train,,1,1,e5f24f35-748a-466d-9dd3-32573c12b0f5.jpg
0,0,0,c7d7df70-9233-4d71-9a95-fd086cdec554,https://bisque.cyverse.org/image_service/image/00-erunAEKXuc7SXhKazvDp7P/resize:4000/format:jpeg,preservedspecimen,magnoliopsida,north america,united states,gloucester,,,ulmaceae,,ulmus,plantae,,,rosales,tracheophyta,,ulmus americana,americana,new jersey,,train,,0,0,c7d7df70-9233-4d71-9a95-fd086cdec554.jpg
1,1,1,5209991a-f58b-4742-a71a-4f343e0211de,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00077/DES00077505_lg.jpg,preservedspecimen,,north america,united states,coconino county,,2013-08-16,asteraceae,,dieteria,plantae,"kaibab plateau, east face of monocline, tater canyon, in 20 m swath of pipeline on canyon bottom.","Occasional herbaceous perennial, rays purple.",asterales,magnoliophyta,flowers,dieteria canescens var. canescens,canescens,arizona,"{""lat"": 36.492243, ""lon"": -112.065062}",train,,1,1,5209991a-f58b-4742-a71a-4f343e0211de.jpg
U,U,1,ffde9b82-3b0a-488c-96af-18c6d708bb26,https://cdn.plantatlas.org/img/specimens/USF/83972.jpg,preservedspecimen,magnoliopsida,north america,united states,monroe co.,,1968-08-27,acanthaceae,,avicennia,plantae,ocean side of plantation key.,,lamiales,tracheophyta,Fruit,avicennia germinans,germinans,florida,,train,,U,U,ffde9b82-3b0a-488c-96af-18c6d708bb26.jpg
0,0,1,a2d67a20-5e79-4866-a52c-0a68fbaf2181,http://mam.ansp.org/image/TAWES/Fullsize/0005/TAWES0005995.jpg,preservedspecimen,magnoliopsida,north america,united states,washington,,1982-05-02,staphyleaceae,,staphylea,plantae,"potomac river, dam 4 north, ridge and valley",,crossosomatales,tracheophyta,sterile,staphylea trifolia,trifolia,maryland,"{""lat"": 39.497062, ""lon"": -77.826615}",train,,0,0,a2d67a20-5e79-4866-a52c-0a68fbaf2181.jpg
0,0,1,8a1819b1-693f-4186-a47e-04be79fd6243,https://bisque.cyverse.org/image_service/image/00-GKkGG8hhBwyoukBWSwKo6f?resize=4000&format=jpeg,preservedspecimen,,north america,united states,turner,,,lauraceae,,persea,plantae,,,laurales,magnoliophyta,,persea palustris,palustris,georgia,,train,1,0,0,8a1819b1-693f-4186-a47e-04be79fd6243.jpg
0,1,1,5ff930b2-596f-405d-b575-1ceebcbde509,https://cdn.plantatlas.org/img/specimens/USF/120123.jpg,preservedspecimen,magnoliopsida,south america,peru,,"{""habit"":""Tree 5.5 m; fruits pale orange, depressed-globose.""}",1972-08-06,melastomataceae,,miconia,plantae,"rio itaya, ca. 5 km above iquitos.",,myrtales,tracheophyta,Fruit,miconia pilgeriana,dolichorrhyncha,loreto,,train,,0,1,5ff930b2-596f-405d-b575-1ceebcbde509.jpg
0,0,1,0a7702da-7d6d-44d3-bcfa-f035f58f3aaf,http://cdn.flmnh.ufl.edu/Herbarium/jpg/266/266455a1.jpg,preservedspecimen,magnoliopsida,north america,united states,st. johns,,2018-01-29,sapindaceae,,koelreuteria,plantae,,"[Common name:] flamegold, golden rain tree --[Label note:] Submitted for identification by Terra Freeman, St. Johns County extension agent.",sapindales,tracheophyta,vegetative,koelreuteria elegans ssp. formosana,elegans,florida,,train,,0,0,0a7702da-7d6d-44d3-bcfa-f035f58f3aaf.jpg
0,1,1,1198349e-b6b8-4088-8b59-6f8164de1718,https://cdn.plantatlas.org/img/specimens/USF/4061.jpg,preservedspecimen,magnoliopsida,north america,united states,lee co.,,1952-03-31,cucurbitaceae,,melothria,plantae,sanibel island,,cucurbitales,tracheophyta,Flower | Fruit,melothria pendula,pendula,florida,,train,0,0,1,1198349e-b6b8-4088-8b59-6f8164de1718.jpg
1,1,1,a9bcfa7a-4da8-4026-ace6-caac6779edfa,https://api.idigbio.org/v2/media/8b3a0300c4add12ff6464d150d19a692?size=fullsize,preservedspecimen,magnoliopsida,north america,united states,boulder,,2007-06-23,geraniaceae,,geranium,plantae,"along hwy 7, ca 3.5 mi. sw of lyons. just outside of roosevelt national forest.","Silica gel dried leaves preserved at the DNA Bank, Missouri Botanical Garden; Common. Flowers bluish-pink. Leaves sticky.",geraniales,tracheophyta,,geranium viscosissimum,viscosissimum,colorado,"{""lat"": 40.20375, ""lon"": -105.3165}",train,,1,1,a9bcfa7a-4da8-4026-ace6-caac6779edfa.jpg
0,U,1,cbe0064d-c0ef-464b-94d0-0bf883687e10,http://storage.idigbio.org/mor/aquatic/00028/0028096MOR_lg.jpg,preservedspecimen,liliopsida,north america,united states,kankakee,,1990-08-28,alismataceae,,sagittaria,plantae,"just east of warner bridge (both sides of the kankakee river), in shallow water of the river bank.",,alismatales,tracheophyta,Flower: Y Fruit: N Vegetation: Y Bud: N,sagittaria latifolia,latifolia,illinois,,train,,0,U,cbe0064d-c0ef-464b-94d0-0bf883687e10.jpg
1,0,1,2f43a7fa-0891-4fa1-9a07-185c7e35a3f6,http://mediaphoto.mnhn.fr/media/1441351765888ZEpXjzdWhcEnrKsW,preservedspecimen,magnoliopsida,,nouvelle-calédonie,,,2001-12-6,paracryphiaceae,"Arbuste de 3 m, fruit vert",paracryphia,plantae,,,paracryphiales,tracheophyta,,paracryphia alticola (schltr.) steenis,alticola,,"{""lat"": -21.66623, ""lon"": 166.24682}",train,,1,0,2f43a7fa-0891-4fa1-9a07-185c7e35a3f6.jpg
1,1,1,27ddc076-066d-47f0-a447-15062914950a,https://web.corral.tacc.utexas.edu/torch/TAC/TAC0004000/TAC04007.jpg,preservedspecimen,,north america,united states,wichita,,2004-05-22,apiaceae,,torilis,plantae,"buffalo creek reservoir. 33.9845n, 98.75661w.",Rare,apiales,magnoliophyta,flower/fruit,torilis arvensis,arvensis,texas,"{""lat"": 33.9845, ""lon"": -98.75661}",train,,1,1,27ddc076-066d-47f0-a447-15062914950a.jpg
0,0,1,f60a633f-d068-43c8-8114-a9ffe8fcfb16,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0451000/BRIT451551.jpg,preservedspecimen,magnoliopsida,north america,united states,jeff davis,,1945-07-23,salicaceae,,populus,plantae,"top of middle fork of madera canyon, davis mts. elev. ca. 7800 ft. elev., davis mts.",Very abundant.; Trees to 1/2 x 40 ft.,malpighiales,tracheophyta,sterile,populus tremuloides,tremuloides,texas,,train,,0,0,f60a633f-d068-43c8-8114-a9ffe8fcfb16.jpg
0,U,1,7566e502-18ad-4d50-818c-4af84ecfb945,https://cdn.plantatlas.org/img/specimens/USF/158997.jpg,preservedspecimen,magnoliopsida,south america,peru,maynas prov.,,1979-12-14,dilleniaceae,,doliocarpus,plantae,"lower rio itaya, near iquitos.",,dilleniales,tracheophyta,Fruit,doliocarpus major,major,loreto,,train,U,0,U,7566e502-18ad-4d50-818c-4af84ecfb945.jpg
0,1,1,aadc23c1-386c-4a07-80d0-ab208667c345,http://mediaphoto.mnhn.fr/media/1441377056309G9hpxSOe89rEM1rS,preservedspecimen,magnoliopsida,,,,,,icacinaceae,,pyrenacantha,plantae,,"Prélèvement de fruit pour C. del Rio & D. de Franceschi, UMR 7207, MNHN, 3/2016, demande Colhelper n° 54132",icacinales,tracheophyta,,pyrenacantha glabrescens (engl.) engl.,glabrescens,,,train,,0,1,aadc23c1-386c-4a07-80d0-ab208667c345.jpg
1,1,1,5dc0eef5-8e66-4ad7-be3f-db9c96e7cae2,http://mam.ansp.org/image/TAWES/Fullsize/0005/TAWES0005493.jpg,preservedspecimen,magnoliopsida,north america,united states,allegany,,1983-09-24,orobanchaceae,,agalinis,plantae,"malcolm road, ridge and valley",,lamiales,tracheophyta,flowering,agalinis tenuifolia,tenuifolia,maryland,"{""lat"": 39.556011, ""lon"": -78.470067}",train,,1,1,5dc0eef5-8e66-4ad7-be3f-db9c96e7cae2.jpg
0,1,1,64e2346f-dceb-4b1a-a339-3f5b765b1101,http://storage.idigbio.org/mor/aquatic/00018/0018927MOR_lg.jpg,preservedspecimen,liliopsida,north america,united states,walworth,,1973-08-30,iridaceae,,iris,plantae,"in east troy, at south edge of town, west of county g, on north bank of reservoir in honey creek.",County Voucher,asparagales,tracheophyta,Flower: N Fruit: Y Vegetation: Y Bud: N,iris pseudacorus,pseudacorus,wisconsin,"{""lat"": 42.782343, ""lon"": -88.40956100000001}",train,,0,1,64e2346f-dceb-4b1a-a339-3f5b765b1101.jpg
1,0,1,dfe08852-1e0e-4a45-aaf0-fb52961b029e,http://mam.ansp.org/image/MARY/Fullsize/1013/MARY1013389.jpg,preservedspecimen,liliopsida,north america,united states,prince george's,,2016-04-16,liliaceae,,erythronium,plantae,college park. behind paint branch elementary school,Several individuals in area; Delicate herb to 2 dm with mottled leaves and yellow flowers,liliales,tracheophyta,,erythronium americanum subsp. americanum,americanum,maryland,"{""lat"": 38.98655, ""lon"": -76.92819}",train,,1,0,dfe08852-1e0e-4a45-aaf0-fb52961b029e.jpg
1,0,1,a90b5677-cb48-47a8-93bf-fe54e6ac0e8c,http://data.huh.harvard.edu/258fcaa8-5c8e-4011-912b-24c8f40cf6c6/image,preservedspecimen,magnoliopsida,asia,china,,"{""huh_taxonomic_group"": ""Vascular"", ""huh_project_id"": null, ""huh_project_name"": null}",1935-08,ranunculaceae,,delphinium,plantae,"ngaala (en-ge-la), tsa-wa-rung (ca-wa-long). 3800 m",,ranunculales,tracheophyta,Flower,delphinium forrestii diels,forrestii,sichuan,"{""lat"": 28.5, ""lon"": 98.4}",train,,1,0,a90b5677-cb48-47a8-93bf-fe54e6ac0e8c.jpg
1,0,1,9077fd85-6ecb-437f-a3d1-9bca8706a363,https://bisque.cyverse.org/image_service/image/00-VSCUw9Cd6kpieZkqfhSXKM/resize:4000/format:jpeg,preservedspecimen,magnoliopsida,north america,united states,richland county,,2008-05-22,magnoliaceae,,magnolia,plantae,mcentire air national guard base,,magnoliales,tracheophyta,vegetative,magnolia virginiana,virginiana,south carolina,"{""lat"": 33.9138, ""lon"": -80.8171}",train,0,1,0,9077fd85-6ecb-437f-a3d1-9bca8706a363.jpg
1,U,1,d2e58236-6a73-421e-8ce1-21f4d56387e0,https://bisque.cyverse.org/image_service/image/00-wiVs2RqUpGXhgVbGJUPBCB/resize:4000/format:jpeg,preservedspecimen,magnoliopsida,north america,united states,,,,berberidaceae,,podophyllum,plantae,,,ranunculales,tracheophyta,,podophyllum peltatum,peltatum,virginia,,train,,1,U,d2e58236-6a73-421e-8ce1-21f4d56387e0.jpg
U,U,1,19300568-2db2-430a-8bdc-4bacdf89f938,https://web.corral.tacc.utexas.edu/torch/TAC/TAC0001000/TAC01574.jpg,preservedspecimen,liliopsida,north america,united states,comanche,,2001-06-09,cyperaceae,,eleocharis,plantae,"lake proctor reservoir; north side of wetland. 31° 58' 11"" n 98° 28' 37"" w.",common in area,poales,tracheophyta,flowering,eleocharis palustris,palustris,texas,"{""lat"": 31.969722, ""lon"": -98.476944}",train,,U,U,19300568-2db2-430a-8bdc-4bacdf89f938.jpg
0,1,1,a61e7747-2a28-4af3-8d3b-cd3fc8b3b2d6,https://bisque.cyverse.org/image_service/image/00-EcFxuhbejQZWmRVcVKRpDS/resize:4000/format:jpeg,preservedspecimen,magnoliopsida,north america,united states,lexington county,,1999-08-02,rosaceae,,rhodotypos,plantae,riverbanks botanical garden,,rosales,tracheophyta,fruiting,rhodotypos scandens,scandens,south carolina,"{""lat"": 34.009161, ""lon"": -81.081568}",train,0,0,1,a61e7747-2a28-4af3-8d3b-cd3fc8b3b2d6.jpg
1,0,1,4e384050-cfb3-4d00-af1b-0874a9e58c2d,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00078/DES00078417_lg.jpg,preservedspecimen,magnoliopsida,north america,united states,pima,,2014-02-09,boraginaceae,,eucrypta,plantae,"tortolita mountains, tortolita mountain park, lower cochie canyon","Plants of the Tortolita Mountains.; Annual with lobed leaves, flowers white and approx. 1mm dia., ovary inferior.",boraginales,tracheophyta,Flower buds,eucrypta chrysanthemifolia,chrysanthemifolia,arizona,"{""lat"": 32.4876, ""lon"": -111.1083}",train,,1,0,4e384050-cfb3-4d00-af1b-0874a9e58c2d.jpg
1,1,1,f5ac9fec-cfb9-40a6-a355-85ebd84392ec,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00037/DES00037822_lg.jpg,preservedspecimen,magnoliopsida,north america,united states,pinal county,,1993-03-07,berberidaceae,,berberis,plantae,"supersition mountanis and wilderness area, la barge creek, ca. 1 1/6 miles  se of trail no. 129 along trail no. 104.","Large shrub,leaves spine-tipped, flowers yellow, fragrant.",ranunculales,tracheophyta,flowers & leaves,mahonia haematocarpa,haematocarpa,arizona,"{""lat"": 33.449444, ""lon"": -111.340833}",train,,1,1,f5ac9fec-cfb9-40a6-a355-85ebd84392ec.jpg
